"pedido";"resdel";"cliente"
0;4;2
1;1;3
2;4;1
3;3;2
4;3;3
5;3;5
6;3;2
7;5;3
8;1;2
9;3;2
10;5;2
11;5;4
12;2;3
13;5;5
15;1;2
16;1;1
17;3;4
18;2;3
19;3;4
21;2;4
22;1;5
23;1;5
24;3;1
25;1;4
26;4;2
27;4;4
28;3;4
30;3;4
31;2;1
32;5;2
33;2;4
35;3;5
36;5;1
37;3;4
38;1;2
39;2;3
41;2;5
43;4;1
44;5;3
45;3;2
47;4;3
49;4;1
52;3;5
54;2;4
55;5;1
56;4;2
57;2;4
58;2;3
59;1;4
60;5;1
61;2;2
62;5;2
63;2;1
64;3;5
65;2;1
66;5;2
67;4;5
69;2;5
70;1;1
71;2;4
72;4;2
73;5;4
76;5;5
77;3;2
78;4;5
79;5;5
80;2;4
81;3;5
82;1;1
83;5;2
84;1;4
85;3;1
86;3;2
88;2;2
91;3;2
92;2;2
94;4;1
95;5;4
97;2;2
98;5;2
99;4;3
100;2;4
101;5;5
102;3;5
103;5;2
108;4;4
110;2;3
111;5;3
112;5;2
114;1;3
116;4;2
121;5;4
123;5;3
