cut;'nombre';'provincia';'region'
15201;'Putre';'Parinacota';'Arica y Parinacota'
13605;'Peñaflor';'Talagante';'Metropolitana de Santiago'
13604;'Padre Hurtado';'Talagante';'Metropolitana de Santiago'
15202;'General Lagos';'Parinacota';'Arica y Parinacota'
1101;'Iquique';'Iquique';'Tarapacá'
1107;'Alto Hospicio';'Iquique';'Tarapacá'
1401;'Pozo Almonte';'Tamarugal';'Tarapacá'
1402;'Camiña';'Tamarugal';'Tarapacá'
1403;'Colchane';'Tamarugal';'Tarapacá'
1404;'Huara';'Tamarugal';'Tarapacá'
1405;'Pica';'Tamarugal';'Tarapacá'
2101;'Antofagasta';'Antofagasta';'Antofagasta'
2102;'Mejillones';'Antofagasta';'Antofagasta'
2103;'Sierra Gorda';'Antofagasta';'Antofagasta'
2104;'Taltal';'Antofagasta';'Antofagasta'
2201;'Calama';'El Loa';'Antofagasta'
2202;'Ollagüe';'El Loa';'Antofagasta'
2203;'San Pedro de Atacama';'El Loa';'Antofagasta'
2301;'Tocopilla';'Tocopilla';'Antofagasta'
2302;'María Elena';'Tocopilla';'Antofagasta'
3101;'Copiapó';'Copiapó';'Atacama'
3102;'Caldera';'Copiapó';'Atacama'
3103;'Tierra Amarilla';'Copiapó';'Atacama'
3201;'Chañaral';'Chañaral';'Atacama'
3202;'Diego de Almagro';'Chañaral';'Atacama'
3301;'Vallenar';'Huasco';'Atacama'
3302;'Alto del Carmen';'Huasco';'Atacama'
3303;'Freirina';'Huasco';'Atacama'
3304;'Huasco';'Huasco';'Atacama'
4101;'La Serena';'Elqui';'Coquimbo'
4102;'Coquimbo';'Elqui';'Coquimbo'
4103;'Andacollo';'Elqui';'Coquimbo'
4104;'La Higuera';'Elqui';'Coquimbo'
4105;'Paihuano';'Elqui';'Coquimbo'
4106;'Vicuña';'Elqui';'Coquimbo'
4201;'Illapel';'Choapa';'Coquimbo'
4202;'Canela';'Choapa';'Coquimbo'
4203;'Los Vilos';'Choapa';'Coquimbo'
4204;'Salamanca';'Choapa';'Coquimbo'
4301;'Ovalle';'Limarí';'Coquimbo'
4302;'Combarbalá';'Limarí';'Coquimbo'
4303;'Monte Patria';'Limarí';'Coquimbo'
4304;'Punitaqui';'Limarí';'Coquimbo'
4305;'Río Hurtado';'Limarí';'Coquimbo'
5101;'Valparaíso';'Valparaíso';'Valparaíso'
5102;'Casablanca';'Valparaíso';'Valparaíso'
5103;'Concón';'Valparaíso';'Valparaíso'
5104;'Juan Fernández';'Valparaíso';'Valparaíso'
5105;'Puchuncaví';'Valparaíso';'Valparaíso'
5107;'Quintero';'Valparaíso';'Valparaíso'
5109;'Viña del Mar';'Valparaíso';'Valparaíso'
5201;'Isla de Pascua';'Isla de Pascua';'Valparaíso'
5301;'Los Andes';'Los Andes';'Valparaíso'
5302;'Calle Larga';'Los Andes';'Valparaíso'
5303;'Rinconada';'Los Andes';'Valparaíso'
5304;'San Esteban';'Los Andes';'Valparaíso'
5401;'La Ligua';'Petorca';'Valparaíso'
5402;'Cabildo';'Petorca';'Valparaíso'
5403;'Papudo';'Petorca';'Valparaíso'
5404;'Petorca';'Petorca';'Valparaíso'
5405;'Zapallar';'Petorca';'Valparaíso'
5501;'Quillota';'Quillota';'Valparaíso'
5502;'La Calera';'Quillota';'Valparaíso'
5503;'Hijuelas';'Quillota';'Valparaíso'
5504;'La Cruz';'Quillota';'Valparaíso'
5506;'Nogales';'Quillota';'Valparaíso'
5601;'San Antonio';'San Antonio';'Valparaíso'
5602;'Algarrobo';'San Antonio';'Valparaíso'
5603;'Cartagena';'San Antonio';'Valparaíso'
5604;'El Quisco';'San Antonio';'Valparaíso'
5605;'El Tabo';'San Antonio';'Valparaíso'
5606;'Santo Domingo';'San Antonio';'Valparaíso'
5701;'San Felipe';'San Felipe de Aconcagua';'Valparaíso'
5702;'Catemu';'San Felipe de Aconcagua';'Valparaíso'
5703;'Llay-Llay';'San Felipe de Aconcagua';'Valparaíso'
5704;'Panquehue';'San Felipe de Aconcagua';'Valparaíso'
5705;'Putaendo';'San Felipe de Aconcagua';'Valparaíso'
5706;'Santa María';'San Felipe de Aconcagua';'Valparaíso'
5801;'Quilpué';'Marga Marga';'Valparaíso'
5802;'Limache';'Marga Marga';'Valparaíso'
5803;'Olmué';'Marga Marga';'Valparaíso'
5804;'Villa Alemana';'Marga Marga';'Valparaíso'
6101;'Rancagua';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6102;'Codegua';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6103;'Coinco';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6104;'Coltauco';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6105;'Doñihue';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6106;'Graneros';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6107;'Las Cabras';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6108;'Machalí';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6109;'Malloa';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6110;'Mostazal';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6111;'Olivar';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6112;'Peumo';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6113;'Pichidegua';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6114;'Quinta de Tilcoco';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6115;'Rengo';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6116;'Requínoa';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6117;'San Vicente';'Cachapoal';'Lib. Gral. Bernardo OHiggins'
6201;'Pichilemu';'Cardenal Caro';'Lib. Gral. Bernardo OHiggins'
6202;'La Estrella';'Cardenal Caro';'Lib. Gral. Bernardo OHiggins'
6203;'Litueche';'Cardenal Caro';'Lib. Gral. Bernardo OHiggins'
6204;'Marchigüe';'Cardenal Caro';'Lib. Gral. Bernardo OHiggins'
6205;'Navidad';'Cardenal Caro';'Lib. Gral. Bernardo OHiggins'
6206;'Paredones';'Cardenal Caro';'Lib. Gral. Bernardo OHiggins'
6301;'San Fernando';'Colchagua';'Lib. Gral. Bernardo OHiggins'
6302;'Chépica';'Colchagua';'Lib. Gral. Bernardo OHiggins'
6303;'Chimbarongo';'Colchagua';'Lib. Gral. Bernardo OHiggins'
6304;'Lolol';'Colchagua';'Lib. Gral. Bernardo OHiggins'
6305;'Nancagua';'Colchagua';'Lib. Gral. Bernardo OHiggins'
6306;'Palmilla';'Colchagua';'Lib. Gral. Bernardo OHiggins'
6307;'Peralillo';'Colchagua';'Lib. Gral. Bernardo OHiggins'
6308;'Placilla';'Colchagua';'Lib. Gral. Bernardo OHiggins'
6309;'Pumanque';'Colchagua';'Lib. Gral. Bernardo OHiggins'
6310;'Santa Cruz';'Colchagua';'Lib. Gral. Bernardo OHiggins'
7101;'Talca';'Talca';'Maule'
7102;'Constitución';'Talca';'Maule'
7103;'Curepto';'Talca';'Maule'
7104;'Empedrado';'Talca';'Maule'
7105;'Maule';'Talca';'Maule'
7106;'Pelarco';'Talca';'Maule'
7107;'Pencahue';'Talca';'Maule'
7108;'Río Claro';'Talca';'Maule'
7109;'San Clemente';'Talca';'Maule'
7110;'San Rafael';'Talca';'Maule'
7201;'Cauquenes';'Cauquenes';'Maule'
7202;'Chanco';'Cauquenes';'Maule'
7203;'Pelluhue';'Cauquenes';'Maule'
7301;'Curicó';'Curicó';'Maule'
7302;'Hualañé';'Curicó';'Maule'
7303;'Licantén';'Curicó';'Maule'
7304;'Molina';'Curicó';'Maule'
7305;'Rauco';'Curicó';'Maule'
7306;'Romeral';'Curicó';'Maule'
7307;'Sagrada Familia';'Curicó';'Maule'
7308;'Teno';'Curicó';'Maule'
7309;'Vichuquén';'Curicó';'Maule'
7401;'Linares';'Linares';'Maule'
7402;'Colbún';'Linares';'Maule'
7403;'Longaví';'Linares';'Maule'
7404;'Parral';'Linares';'Maule'
7405;'Retiro';'Linares';'Maule'
7406;'San Javier';'Linares';'Maule'
7407;'Villa Alegre';'Linares';'Maule'
7408;'Yerbas Buenas';'Linares';'Maule'
16101;'Chillán';'Diguillín';'Ñuble'
16102;'Bulnes';'Diguillín';'Ñuble'
16103;'Chillán Viejo';'Diguillín';'Ñuble'
16104;'El Carmen';'Diguillín';'Ñuble'
16105;'Pemuco';'Diguillín';'Ñuble'
16106;'Pinto';'Diguillín';'Ñuble'
16107;'Quillón';'Diguillín';'Ñuble'
16108;'San Ignacio';'Diguillín';'Ñuble'
16109;'Yungay';'Diguillín';'Ñuble'
16201;'Quirihue';'Itata';'Ñuble'
16202;'Cobquecura';'Itata';'Ñuble'
16203;'Coelemu';'Itata';'Ñuble'
16204;'Ninhue';'Itata';'Ñuble'
