"nombre";"vigente";"estilo";"repartomin";"sucursal";"direccion";"telefono";"area"
"DCCRestaurant";TRUE;"fast food";10000;"Las Parcelas";"Av. Las Parcelas 1234, Macul, Santiago";562994152387;" Macul"
"Meet Burger";FALSE;"fast food";5000;"Providencia";"Av. Providencia 456, Las Condes, Santiago";56871243659;" Las Condes"
"Meet Burger";FALSE;"fast food";5000;"Vitacura";"Av. Vitacura 789, Vitacura, Santiago";56274568231;" Vitacura"
"Meet Burger";FALSE;"fast food";5000;"Apoquindo";"Av. Apoquindo 123, Las Condes, Santiago";56321078546;" Las Condes"
"Meet Burger";FALSE;"fast food";5000;"Kennedy";"Av. Kennedy 456, Las Condes, Santiago";562109876452;" Las Condes"
"Burger Queen";FALSE;"fast food";8000;"Padre Mariano";"Calle Padre Mariano 789, La Reina, Santiago";56784561032;" La Reina"
"Burger Queen";FALSE;"fast food";8000;"Larraín";"Av. Larraín 123, La Reina, Santiago";562367891254;" La Reina"
"Delicia China";FALSE;"internacional";11000;"Recoleta";"Av. Recoleta 456, Huechuraba, Santiago";56215647893;" Huechuraba"
"Delicia China";FALSE;"internacional";11000;"San Pablo";"Calle San Pablo 789, La Cisterna, Santiago";562981456702;" La Cisterna"
"Delicia China";FALSE;"internacional";11000;"Libertador";"Av. Libertador 123, Rancagua";56670938215;" Rancagua"
"Indian Cuisine";TRUE;"internacional";8000;"Vitacura";"Av. Vitacura 456, Vitacura, Santiago";562547812369;" Vitacura"
"Indian Cuisine";TRUE;"internacional";8000;"Prat";"Calle Prat 789, Iquique";56123984756;" Iquique"
"Indian Cuisine";TRUE;"internacional";8000;"Libertador";"Av. Libertador 123, Viña del Mar";562789465123;" Viña del Mar"
"Indian Cuisine";TRUE;"internacional";8000;"Larga";"Calle Larga 456, Los Andes";56456789012;" Los Andes"
"Indian Cuisine";TRUE;"internacional";8000;"Colón";"Av. Colón 789, Antofagasta";562345678901;" Antofagasta"
"Mestiza";TRUE;"fancy";10000;"Lientur";"Av. Lientur 123, Los Andes";56987654321;" Los Andes"
"Bogaro";TRUE;"fancy";4000;"Escriva de Balaguer";"Av. San José María Escrivá de Balaguer 5970, Vitacura, Santiago";562192837465;" Vitacura"
"Chick-Fil-A";TRUE;"fancy";6000;"Apoquindo";"Av. Apoquindo 123, Las Condes, Santiago";56876543210;" Las Condes"
"Chick-Fil-A";TRUE;"fancy";6000;"Estado";"Calle Estado 456, Santiago Centro";562765432109;" Santiago Centro"
"Chick-Fil-A";TRUE;"fancy";6000;"Grecia";"Av. Grecia 789, Ñuñoa, Santiago";56109876543;" Ñuñoa"
"Chick-Fil-A";TRUE;"fancy";6000;"Viel";"Calle Viel 123, Viña del Mar";562432109876;" Viña del Mar"
"Chick-Fil-A";TRUE;"fancy";6000;"OHiggins";"Av. OHiggins 456, Rancagua";56543210987;" Rancagua"
"Chick-Fil-A";TRUE;"fancy";6000;"Prat";"Calle Prat 789, Iquique";562987654321;" Iquique"
"Chick-Fil-A";TRUE;"fancy";6000;"Alemania";"Av. Alemania 123, Temuco";56210987654;" Temuco"
"Donald Mc";FALSE;"fast food";3000;"Grecia";"Av. Grecia 456, Ñuñoa, Santiago";562654321098;" Ñuñoa"
"Donald Mc";FALSE;"fast food";3000;"Estado";"Calle Estado 789, Santiago Centro";56876543219;" Santiago Centro"
"Donald Mc";FALSE;"fast food";3000;"Apoquindo";"Av. Apoquindo 123, Las Condes, Santiago";562321098765;" Las Condes"
"Donald Mc";FALSE;"fast food";3000;"Viel";"Calle Viel 456, Viña del Mar";56543219876;" Viña del Mar"
"Donald Mc";FALSE;"fast food";3000;"OHiggins";"Av. OHiggins 789, Rancagua";562098765432;" Rancagua"
"Donald Mc";FALSE;"fast food";3000;"Prat";"Calle Prat 123, Iquique";56219876543;" Iquique"
"Donald Mc";FALSE;"fast food";3000;"Alemania";"Av. Alemania 456, Temuco";562876543210;" Temuco"
"Donald Mc";FALSE;"fast food";3000;"Larga";"Calle Larga 789, Los Andes";56765432109;" Los Andes"
"Donald Mc";FALSE;"fast food";3000;"Colón";"Av. Colón 123, Antofagasta";562543210987;" Antofagasta"
"Donald Mc";FALSE;"fast food";3000;"Vitacura";"Av. Vitacura 456, Vitacura, Santiago";56432109876;" Vitacura"
"Aroma Limeño";TRUE;"internacional";3000;"San Juan";"Av. San Juan 202, Machalí";562210987654;" Machalí"
"Nolita";TRUE;"fancy";11000;"Vitacura";"Av. Vitacura 123, Vitacura, Santiago";56109876542;" Vitacura"
"Nolita";TRUE;"fancy";11000;"Apoquindo";"Av. Apoquindo 456, Las Condes, Santiago";562987654320;" Las Condes"
"Nolita";TRUE;"fancy";11000;"San Antonio";"Calle San Antonio 789, San Antonio";56765432108;" San Antonio"
"Nolita";TRUE;"fancy";11000;"Grecia";"Av. Grecia 123, Ñuñoa, Santiago";562543210986;" Ñuñoa"
"Nolita";TRUE;"fancy";11000;"Estado";"Calle Estado 456, Santiago Centro";56432109875;" Santiago Centro"
"Outback Steak";FALSE;"fast food";19000;"Las Condes";"Av. Las Condes 789, Las Condes, Santiago";562210987653;" Las Condes"
"Outback Steak";FALSE;"fast food";19000;"Maintención";"Calle Maintención 123, Maintencillo";56109876541;" Maintencillo"
"Gilded Truffle";TRUE;"internacional";19000;"Grecia";"Av. Grecia 456, Ñuñoa, Santiago";562987654319;" Ñuñoa"
"Gilded Truffle";TRUE;"internacional";19000;"Estado";"Calle Estado 789, Santiago Centro";56765432107;" Santiago Centro"
"Gilded Truffle";TRUE;"internacional";19000;"Apoquindo";"Av. Apoquindo 123, Las Condes, Santiago";562543210985;" Las Condes"
"Gilded Truffle";TRUE;"internacional";19000;"Viel";"Calle Viel 456, Viña del Mar";56432109874;" Viña del Mar"
"Gilded Truffle";TRUE;"internacional";19000;"OHiggins";"Av. OHiggins 789, Rancagua";562210987652;" Rancagua"
"Gilded Truffle";TRUE;"internacional";19000;"Prat";"Calle Prat 123, Iquique";56109876540;" Iquique"
"Gilded Truffle";TRUE;"internacional";19000;"Alemania";"Av. Alemania 456, Temuco";562987654318;" Temuco"
"Gilded Truffle";TRUE;"internacional";19000;"Larga";"Calle Larga 789, Los Andes";56765432106;" Los Andes"
