nombre;vigente;estilo;repartomin;sucursal;direccion;telefono;area
DCCRestaurant;TRUE;fast food;10000;Las Parcelas;Av. Las Parcelas 1234, Macul, Santiago;5,62994E+11; Macul
Meet Burger;FALSE;fast food;5000;Providencia;Av. Providencia 456, Las Condes, Santiago;56871243659; Las Condes
Meet Burger;FALSE;fast food;5000;Vitacura;Av. Vitacura 789, Vitacura, Santiago;56274568231; Vitacura
Meet Burger;FALSE;fast food;5000;Apoquindo;Av. Apoquindo 123, Las Condes, Santiago;56321078546; Las Condes
Meet Burger;FALSE;fast food;5000;Kennedy;Av. Kennedy 456, Las Condes, Santiago;5,6211E+11; Las Condes
Burger Queen;FALSE;fast food;8000;Padre Mariano;Calle Padre Mariano 789, La Reina, Santiago;56784561032; La Reina
Burger Queen;FALSE;fast food;8000;Larraín;Av. Larraín 123, La Reina, Santiago;5,62368E+11; La Reina
Delicia China;FALSE;internacional;11000;Recoleta;Av. Recoleta 456, Huechuraba, Santiago;56215647893; Huechuraba
Delicia China;FALSE;internacional;11000;San Pablo;Calle San Pablo 789, La Cisterna, Santiago;5,62981E+11; La Cisterna
Delicia China;FALSE;internacional;11000;Libertador;Av. Libertador 123, Rancagua;56670938215; Rancagua
Indian Cuisine;TRUE;internacional;8000;Vitacura;Av. Vitacura 456, Vitacura, Santiago;5,62548E+11; Vitacura
Indian Cuisine;TRUE;internacional;8000;Prat;Calle Prat 789, Iquique;56123984756; Iquique
Indian Cuisine;TRUE;internacional;8000;Libertador;Av. Libertador 123, Viña del Mar;5,62789E+11; Viña del Mar
Indian Cuisine;TRUE;internacional;8000;Larga;Calle Larga 456, Los Andes;56456789012; Los Andes
Indian Cuisine;TRUE;internacional;8000;Colón;Av. Colón 789, Antofagasta;5,62346E+11; Antofagasta
Mestiza;TRUE;fancy;10000;Lientur;Av. Lientur 123, Los Andes;56987654321; Los Andes
Bogaro;TRUE;fancy;4000;Escriva de Balaguer;Av. San Jos√© María Escriv√° de Balaguer 5970, Vitacura, Santiago;5,62193E+11; Vitacura
Chick-Fil-A;TRUE;fancy;6000;Apoquindo;Av. Apoquindo 123, Las Condes, Santiago;56876543210; Las Condes
Chick-Fil-A;TRUE;fancy;6000;Estado;Calle Estado 456, Santiago Centro;5,62765E+11; Santiago Centro
Chick-Fil-A;TRUE;fancy;6000;Grecia;Av. Grecia 789,Ñuñoa, Santiago;56109876543;Ñuñoa
Chick-Fil-A;TRUE;fancy;6000;Viel;Calle Viel 123, Viña del Mar;5,62432E+11; Viña del Mar
Chick-Fil-A;TRUE;fancy;6000;OHiggins;Av. OHiggins 456, Rancagua;56543210987; Rancagua
Chick-Fil-A;TRUE;fancy;6000;Prat;Calle Prat 789, Iquique;5,62988E+11; Iquique
Chick-Fil-A;TRUE;fancy;6000;Alemania;Av. Alemania 123, Temuco;56210987654; Temuco
Donald Mc;FALSE;fast food;3000;Grecia;Av. Grecia 456,Ñuñoa, Santiago;5,62654E+11;Ñuñoa
Donald Mc;FALSE;fast food;3000;Estado;Calle Estado 789, Santiago Centro;56876543219; Santiago Centro
Donald Mc;FALSE;fast food;3000;Apoquindo;Av. Apoquindo 123, Las Condes, Santiago;5,62321E+11; Las Condes
Donald Mc;FALSE;fast food;3000;Viel;Calle Viel 456, Viña del Mar;56543219876; Viña del Mar
Donald Mc;FALSE;fast food;3000;OHiggins;Av. OHiggins 789, Rancagua;5,62099E+11; Rancagua
Donald Mc;FALSE;fast food;3000;Prat;Calle Prat 123, Iquique;56219876543; Iquique
Donald Mc;FALSE;fast food;3000;Alemania;Av. Alemania 456, Temuco;5,62877E+11; Temuco
Donald Mc;FALSE;fast food;3000;Larga;Calle Larga 789, Los Andes;56765432109; Los Andes
Donald Mc;FALSE;fast food;3000;Colón;Av. Colón 123, Antofagasta;5,62543E+11; Antofagasta
Donald Mc;FALSE;fast food;3000;Vitacura;Av. Vitacura 456, Vitacura, Santiago;56432109876; Vitacura
Aroma Limeño;TRUE;internacional;3000;San Juan;Av. San Juan 202, Machalí;5,62211E+11; Machalí
Nolita;TRUE;fancy;11000;Vitacura;Av. Vitacura 123, Vitacura, Santiago;56109876542; Vitacura
Nolita;TRUE;fancy;11000;Apoquindo;Av. Apoquindo 456, Las Condes, Santiago;5,62988E+11; Las Condes
Nolita;TRUE;fancy;11000;San Antonio;Calle San Antonio 789, San Antonio;56765432108; San Antonio
Nolita;TRUE;fancy;11000;Grecia;Av. Grecia 123,Ñuñoa, Santiago;5,62543E+11;Ñuñoa
Nolita;TRUE;fancy;11000;Estado;Calle Estado 456, Santiago Centro;56432109875; Santiago Centro
Outback Steak;FALSE;fast food;19000;Las Condes;Av. Las Condes 789, Las Condes, Santiago;5,62211E+11; Las Condes
Outback Steak;FALSE;fast food;19000;Maintención;Calle Maintención 123, Maintencillo;56109876541; Maintencillo
Gilded Truffle;TRUE;internacional;19000;Grecia;Av. Grecia 456,Ñuñoa, Santiago;5,62988E+11;Ñuñoa
Gilded Truffle;TRUE;internacional;19000;Estado;Calle Estado 789, Santiago Centro;56765432107; Santiago Centro
Gilded Truffle;TRUE;internacional;19000;Apoquindo;Av. Apoquindo 123, Las Condes, Santiago;5,62543E+11; Las Condes
Gilded Truffle;TRUE;internacional;19000;Viel;Calle Viel 456, Viña del Mar;56432109874; Viña del Mar
Gilded Truffle;TRUE;internacional;19000;OHiggins;Av. OHiggins 789, Rancagua;5,62211E+11; Rancagua
Gilded Truffle;TRUE;internacional;19000;Prat;Calle Prat 123, Iquique;56109876540; Iquique
Gilded Truffle;TRUE;internacional;19000;Alemania;Av. Alemania 456, Temuco;5,62988E+11; Temuco
Gilded Truffle;TRUE;internacional;19000;Larga;Calle Larga 789, Los Andes;56765432106; Los Andes
Gilded Truffle;TRUE;internacional;19000;Colón;Av. Colón 123, Antofagasta;5,62543E+11; Antofagasta
FCK;FALSE;fast food;9000;Vitacura;Av. Vitacura 456, Vitacura, Santiago;56432109873; Vitacura
FCK;FALSE;fast food;9000;Apoquindo;Av. Apoquindo 789, Las Condes, Santiago;5,62211E+11; Las Condes
FCK;FALSE;fast food;9000;San Antonio;Calle San Antonio 123, San Antonio;56109876539; San Antonio
FCK;FALSE;fast food;9000;Grecia;Av. Grecia 456,Ñuñoa, Santiago;5,62988E+11;Ñuñoa
FCK;FALSE;fast food;9000;Estado;Calle Estado 789, Santiago Centro;56765432105; Santiago Centro
FCK;FALSE;fast food;9000;Las Condes;Av. Las Condes 123, Las Condes, Santiago;5,62543E+11; Las Condes
FCK;FALSE;fast food;9000;Maintención;Calle Maintención 456, Maintencillo;56432109872; Maintencillo
FCK;FALSE;fast food;9000;Grecia;Av. Grecia 789,Ñuñoa, Santiago;5,62211E+11;Ñuñoa
FCK;FALSE;fast food;9000;Estado;Calle Estado 123, Santiago Centro;56109876538; Santiago Centro
FCK;FALSE;fast food;9000;Apoquindo;Av. Apoquindo 456, Las Condes, Santiago;5,62988E+11; Las Condes
