id;cliente;plato;fecha;hora
1;37;0;12-19-2023;14:57:50
3;62;49  81;6-3-2023;17:22:11
4;70;92;3-2-2023;6:08:06
6;124;58  82;1-29-2023;23:22:45
8;115;5  6;9-15-2023;14:50:58
7;59;1  19  56  6;9-23-2023;9:18:36
10;16;7  26  28;5-11-2023;20:27:25
12;42;83;7-26-2023;4:09:58
13;40;91;10-4-2023;22:49:09
19;113;77  22;5-20-2023;2:01:55
15;126;2;2-2-2023;22:11:38
16;7;20  41  10;10-4-2023;10:30:13
17;112;6;7-16-2023;12:52:44
18;119;21;3-5-2023;15:20:47
20;31;24  91  89;10-20-2023;8:30:56
21;120;93;3-28-2023;22:35:38
22;16;48;7-8-2023;15:20:40
23;71;93;9-29-2023;23:27:09
25;13;62;11-2-2023;5:33:11
27;20;8;7-10-2023;7:10:09
24;53;40;7-23-2023;0:51:52
29;109;19;5-19-2023;8:40:47
31;15;77  39;3-25-2023;10:09:21
34;4;3  22;9-18-2023;9:53:27
38;125;64;6-24-2023;20:15:38
39;8;49;7-18-2023;19:56:57
40;32;38;4-13-2024;15:24:02
26;82;70  4;12-12-2023;17:24:07
46;115;73  81;3-22-2024;14:29:35
76;87;5  10;6-20-2023;11:20:26
78;19;87  32;5-1-2023;12:09:52
79;119;55  53;4-8-2024;2:49:56
36;121;92  31  3;7-1-2023;7:24:38
82;49;70  57;12-23-2023;1:37:25
37;35;47  90;6-18-2023;10:00:35
41;119;21;5-1-2023;15:19:28
0;62;0  29  62;4-11-2024;21:08:57
2;10;59  87;4-5-2023;13:48:48
43;49;31  98  32;7-30-2023;11:55:18
44;100;84;1-18-2023;17:14:14
45;124;99;12-25-2023;18:45:55
54;71;94;12-1-2023;23:12:30
56;40;65;2-10-2024;10:47:33
57;72;60  16;5-19-2023;0:26:08
58;58;15;1-30-2024;10:30:40
60;89;43;10-1-2023;14:31:02
63;42;95  65  44;1-20-2023;6:33:54
65;125;88;10-12-2023;0:20:34
71;3;40  75;8-23-2023;1:24:32
72;32;89  87;10-26-2023;11:46:40
73;92;9  40  3;3-8-2023;21:21:46
77;26;20;7-19-2023;17:22:18
81;114;5;1-20-2024;1:25:19
105;28;60  80;7-24-2023;19:00:17
106;6;82;9-13-2023;0:30:17
107;11;87  21  1;2-28-2024;17:05:26
108;24;9  21;3-6-2024;2:01:44
109;41;49;7-3-2023;21:15:11
110;121;92;1-21-2024;21:23:41
111;57;54  96;10-26-2023;17:28:56
112;84;24  38  96;11-23-2023;8:12:45
113;99;47  16  48  41;4-2-2024;8:58:33
114;124;2  5  16  35  96;11-19-2023;11:40:11
84;108;39  49;11-29-2023;22:49:19
116;42;38  83  91;4-20-2023;11:29:35
117;50;55  48;5-19-2023;15:46:28
118;66;2;8-19-2023;1:11:51
119;40;12  14  19;4-10-2024;11:04:12
120;24;69  67;3-22-2023;0:04:38
121;95;42  46;1-7-2024;3:02:06
122;123;74  85;2-9-2024;11:34:29
123;70;6;5-15-2023;11:00:25
11;87;7  34;3-28-2023;23:15:59
100;63;11  15;6-30-2023;15:27:53
74;14;98   87;8-25-2023;0:25:00
55;38;94;7-24-2023;15:36:10
80;8;23  20;9-8-2023;14:39:26
14;66;46  52  75;10-6-2023;2:26:50
53;41;65  75  42  82;11-30-2023;15:05:06
42;42;5  18;8-10-2023;11:05:53
9;76;88;8-30-2023;12:30:00
5;64;4  37;8-29-2023;10:59:17
115;19;16;3-12-2024;14:31:32
85;16;32;8-14-2023;15:14:10
88;58;39  95;6-15-2023;3:13:33
91;83;24  15  16;4-25-2024;16:28:22
95;49;16  11;12-24-2023;20:31:07
97;22;55  44  3;12-4-2023;19:49:57
99;68;30  65;4-18-2023;4:39:14
103;43;33;6-28-2023;4:10:43
28;86;8;11-22-2023;15:04:39
94;123;43;1-3-2023;22:50:34
59;31;82  75  14;8-17-2023;15:57:53
83;109;47;3-31-2023;20:19:40
47;87;3;2-15-2024;22:22:11
48;127;3  68;5-24-2023;11:50:12
49;22;18  28;10-12-2023;10:21:03
50;46;26  18;12-20-2023;5:45:41
51;12;96;1-15-2024;6:56:41
52;127;14  76;8-18-2023;17:13:05
30;105;13  27;2-20-2023;3:39:07
32;92;42  69;9-2-2023;22:26:02
33;37;90;5-26-2023;20:44:51
61;53;13  59;8-7-2023;14:43:33
62;35;92  93  99;2-21-2024;19:13:59
64;24;55  74;7-1-2023;16:46:02
66;14;35  41;1-16-2024;16:17:31
67;3;3  40;1-3-2024;21:24:35
68;79;91  89  75;11-2-2023;8:38:52
69;109;31  56;8-14-2023;20:23:58
70;32;94  74;5-6-2023;10:16:50
35;99;13  23;11-30-2023;17:26:50
75;114;91;11-10-2023;18:30:55
86;114;80  1;5-20-2023;0:33:56
87;74;21  64;3-23-2023;14:54:12
89;102;88;12-22-2023;7:21:15
90;109;1  64;10-23-2023;20:45:54
92;40;77  96;4-3-2023;16:23:10
93;76;37;12-4-2023;13:40:52
96;3;58  59;5-6-2023;13:51:35
98;128;39;10-14-2023;15:43:10
101;101;79  11  30  97;3-2-2024;1:33:28
102;92;44;9-16-2023;12:53:23
104;23;17  78;5-3-2023;7:55:52
